dest_ip,metadata_comment
185.84.158.0/24,AS213659 IPv4
115.167.29.0/24,AS213659 IPv4
115.167.30.0/24,AS213659 IPv4
115.167.6.0/24,AS213659 IPv4
115.167.28.0/24,AS213659 IPv4
115.167.15.0/24,AS213659 IPv4
185.84.157.0/24,AS213659 IPv4
45.156.117.0/24,AS213659 IPv4
115.167.11.0/24,AS213659 IPv4
